HRIS_code,資金來源,地區,服務類別,單位類別1,單位類別2,單位類別3,組別 / 單位,地址,電郵,電話 (Fax no.),主任 / 負責人,主任電郵,成立日期(命名日期),服務名額,服務年齡/面積 (平方米),備註
C-LKT-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,呂錦泰幼稚園暨幼兒園,"呂錦泰幼稚園暨幼兒園
Lui Kam Tai Kindergarten-cum-Nursery","九龍大角咀鐵樹街四十三號海康大廈二座二樓
1/F, Block 2, Hoi Hong Building, 43 Tit Shu Street, Tai Kok Tsui, Kowloon",lktkgn@poleungkuk.org.hk,"2395 3623
2395 3680
(2395 8019)","莫詠圓校長
Mok Wing Yuen",wy.mok@poleungkuk.org.hk,"1990.3.14
(2012.3.23)",100,2-6歲,"兼收服務1999.9
暫託服務1992.11
延展服務2001.1"
C-CKTWK-KN,教育局 / 社署,香港,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,莊啟程夫人(華貴)幼稚園暨幼兒園,"莊啟程夫人(華貴)幼稚園暨幼兒園
Mrs. Vicwood K.T. Chong (Wah Kwai) Kindergarten-cum-Nursery","香港薄扶林華貴邨社區中心四樓
4/F, Neighbourhood Community Centre, Wah Kwai Estate, Pokfulam, Hong Kong",vicwoodktchong@poleungkuk.org.hk,"2551 6908
2551 6923
(2538 9331)","陳嘉慧校長
Chan Ka Wai",nataliekw.chan@poleungkuk.org.hk,1992.2.24,133,2-6歲,"兼收服務1993.7(兩組)
暫託服務1995.10
延展服務2002.9"
C-LCKF-KN,教育局 / 社署,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,呂陳慧貞(葵芳)幼稚園暨幼兒園,"呂陳慧貞(葵芳)幼稚園暨幼兒園
Lui Chan Wai Ching (Kwai Fong) Kindergarten-cum-Nursery","新界葵涌葵芳邨葵安樓 15-22 號地下
Unit 15-22, G/F, Kwai On House, Kwai Fong Estate, Kwai Chung, N. T.",kwaifongkgn@poleungkuk.org.hk,"2421 6021
2421 6022
(2619 0559)
 ","葉慧敏校長
Yip Wai Man",joey.yip@poleungkuk.org.hk,"1993.1.12
(2020.3.17)",129,2-6歲,"兼收服務1995.9(兩組)
暫託服務1996.1
延展服務 2001.1"
C-LTLL-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,林丁麗玲幼稚園暨幼兒園,"林丁麗玲幼稚園暨幼兒園
Lam Ting Lai Ling Kindergarten-cum-Nursery","九龍紅磡家維邨家安樓地下
G/F, Ka On Lau, Ka Wai Chuen, Hung Hom, Kowloon",ltllkgn@poleungkuk.org.hk,"2364 9480
2774 6444 (內部聯絡)
 (2627 0247)","鄒凱鈴校長
Chow Hoi Ling",crystal.chow@poleungkuk.org.hk,"1994.9.29
(2012.11.20)",210,2-6歲,"兼收服務1994.10(三組) 暫託服務1996.1
延展服務 2001.1"
C-CLWL-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,陳黎惠蓮幼稚園暨幼兒園,"陳黎惠蓮幼稚園暨幼兒園
Chan Lai Wai Lin Kindergarten-cum-Nursery","九龍城馬頭圍道 188-194 號康年閣地下、一樓及二樓
G/F, 1/F and 2/F, Honour Court, 188-194, Ma
Tau Wai Road, Kowloon City, Kowloon",clwlkgn@poleungkuk.org.hk,"2364 7170
2364 7172
(2334 4413)","葉麗華校長
Yip Lai Wa",laiwa.yip@poleungkuk.org.hk,"1996.9.1
(2009.1.13)",135,2-6歲,"兼收服務1997.2(兩組)
暫託服務1997.3
延展服務2001.1"
C-LSH-KN,教育局 / 社署 / 自資,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,廖笑霞幼稚園暨幼兒中心,"廖笑霞幼稚園暨幼兒中心
Liu Sew Har Kindergarten-cum-Child Care Centre","新界元朗水車館街 44 號地下 1-8 號店
Shops 1-8, G/F, 44, Shui Che Kwun Street, Yuen Long, N.T.",lshkgn@poleungkuk.org.hk,"2479 0999
2479 0969
(2478 6999)","何慧敏校長
Ho Wai Man",wm.ho@poleungkuk.org.hk,"1997.6.1
(2020.3.19)","139
(嬰: 24)
(兒: 115)",0-6歲,"兼收服務1997.9(兩組)
暫託服務2006.10
(自負盈虧)暫託服務2000.9
延展服務2001.11"
C-TWPK-KN,教育局 / 社署 / 自資,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,謝黃沛涓幼稚園暨幼兒園,"謝黃沛涓幼稚園暨幼兒園
Tse Wong Pui Kuen Kindergarten-cum-Nursery","九龍慈雲山慈樂邨樂安樓地下
G/F., Lok On House, Tsz Lok Estate, Tsz Wan Shan, Kowloon",twpkkgn@poleungkuk.org.hk,"2352 2843
2323 8845
(2352 4084)","鄭美珠校長
Cheng Mei Chu",mc.cheng@poleungkuk.org.hk,"1999.1.16
(2011.1.25)",131,2-6歲,"兼收服務2001.9
(自負盈虧)暫託服務2000.9
延展服務2001.1"
C-CKHY-KN,教育局 / 社署,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,鄭關巧妍幼稚園暨幼兒園,"鄭關巧妍幼稚園暨幼兒園
Cheng Kwan How Yin Kindergarten-cum-Nursery","九龍藍田德田邨德康樓一樓二號
Unit 2, 1/F., Tak Hong House, Tak Tin Estate, Lam Tin, Kowloon",ckhykgn@poleungkuk.org.hk,"2709 2280
2709 2212
(2709 1860)","劉瑞萍校長
Lau Shui Ping",sp.lau@poleungkuk.org.hk,"1999.11.1
(2008.3.25)",135,2-6歲,"兼收服務2001.9(兩組)
暫託服務2000.9
延展服務2001.10"
C-LCWC-KN,教育局 / 社署 / 自資,九龍,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,呂陳慧貞幼稚園暨幼兒園,"呂陳慧貞幼稚園暨幼兒園
Lui Chan Wai Ching Kindergarten-cum-Nursery","九龍何文田常盛街常樂邨常樂樓地下
G/F., Sheung Lok House, Sheung Lok Estate, Sheung Shing Street, Homantin, Kowloon",lcwckgn@poleungkuk.org.hk,"2761 3431
2761 3428
(2761 3088)","袁美虹校長
Yuen May Hung",mary.yuen@poleungkuk.org.hk,"1999.9.13
(2012.3.23)",140,2-6歲,"兼收服務2000. 9 (兩組)
(自負盈虧)暫託服務2000.9
延展服務2001.10"
C-CL-KN,教育局 / 社署 / 自資,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,李俊駒伉儷幼稚園暨幼兒園,"李俊駒伉儷幼稚園暨幼兒園
Mr. & Mrs Charlie Lee Kindergarten-cum-Nursery","新界葵涌葵盛東邨盛逸樓平台 B 及C 座
Wing B & C, Podium Level, Shing Yat House, Kwai Shing East Estate, Kwai Chung , N.T.",clkgn@poleungkuk.org.hk,"2419 2734
2419 2755
(2419 2735)","許慧賢校長
Hui Wai Yin",waiyin.hui@poleungkuk.org.hk,"2000.1.3
(2010.7.16)",135,2-6歲,"暫託服務2000.3
延展服務2001.1
兼收服務2005.9"
C-CKY-KN,教育局 / 社署 / 自資,新界,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,蔡繼有幼稚園暨幼兒園,"蔡繼有幼稚園暨幼兒園
Choi Kai Yau  Kindergarten-cum-Nursery","新界將軍澳彩明苑彩富閣地下B及C座
Wing B & C, G/F, Choi Fu House, Choi Ming Court, Tseung Kwan O",ckykgn@poleungkuk.org.hk,"3143 9039
3143 9298
(3143 9153)","王寶英校長
Wong Po Ying",poying.wong@poleungkuk.org.hk,"2002.1.16
(2008.3.27)",135,2-6歲,"
兼收服務2002.2(三組) (自負盈虧)暫託服務2002.1
延展服務2002.1
"
C-WY-KN,教育局 / 社署 / 自資,香港,幼兒服務,幼稚園暨幼兒園/幼兒中心,幼稚園暨幼兒園/幼兒中心,慧妍雅集幼稚園暨幼兒園,"慧妍雅集幼稚園暨幼兒園
Wai Yin Kindergarten-cum-Nursery","香港鰂魚涌基利路1號鰂魚涌社區綜合大樓1樓A
Unit A, 1/F, Quarry Bay Community Complex, 1 Greig Road, Quarry Bay, Hong Kong",waiyin@poleungkuk.org.hk,"2590 6332
2590 6378
(2590 6320)","温翠慧校長
Wan Chui Wai",chuiwai.wan@poleungkuk.org.hk,2005.9.20,168,2-6歲,"兼收服務2005.9(兩組)
(自負盈虧)暫託服務2005.12
延展服務2005.12"
C-MNYLCDC,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,倪文玲(元朗)兒童發展中心,"倪文玲(元朗)兒童發展中心
Malina Ngai (Yuen Long) Child Development Centre ","新界元朗水邊圍邨盈水樓215-220室
Unit 215-220 Ying Shui House, Shui Pin Wai Estate, Yuen Long, New Territories",mnylcdc@poleungkuk.org.hk,"2479 1901
2479 1902
(2479 1905)","朱嘉慧經理
Chu Ka Wai",kawai.chu@poleungkuk.org.hk,"2008.3.1
(2022.9.8)","67
(早期訓練: 47)
(特殊幼兒: 20)",0-6歲,"暫託服務2008.9.1
延展服務 2008.9.1"
C-CKLELC,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,曹金霖幼兒學習中心,"曹金霖幼兒學習中心
Chao King Lin Early Learning Centre","九龍黃大仙竹園南邨華園樓地下
Unit 121-140, G/F, Wah Yuen House, Chuk Yuen(South)Estate, Wong Tai Sin, Kowloon",cklelc@poleungkuk.org.hk,"2322 3030
(2322 6223)","駱文曦經理
Lok Men Hay",mh.lok@poleungkuk.org.hk,2010.3.25,"122
(早期訓練: 66)
(特殊幼兒: 56)",0-6歲,"暫託服務2010.9.1
延展服務 2010.9.1"
C-CDC,自資,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,保良局兒童發展中心,"保良局兒童發展中心
Po Leung Kuk Child Development Centre","香港銅鑼灣禮頓道66號郭羅桂珍兒童服務大樓
Po Leung Kuk Kwok Law Kwai Chun Children Services Building, 66, Leighton Road, Causeway Bay",cdc@poleungkuk.org.hk,"3166 1088
(3905 6037)","黃淑君隊長
Wong Shuk Kwan",shukkwan.wong@poleungkuk.org.hk,2013.1.1,不限,0-8歲,-
C-LOKCDC,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,梁安琪兒童發展中心,"梁安琪兒童發展中心
Angela Leong On Kei Child Development Centre","沙田美田邨美全樓地下C翼
G/F Wing C, Mei Chuen House, Mei Tin Estate, Shatin, New Territories",lokcdc@poleungkuk.org.hk,"2663 1254
(2702 1163)","陳惠淳經理
Chan Wai Shun",carolws.chan@poleungkuk.org.hk,"2014.9.29
(2017.2.20)",100,0-6歲,暫託服務 2014.10.1
C-WYACDC,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,慧妍雅集兒童發展中心,"慧妍雅集兒童發展中心
Wai Yin Association Child Development Centre","新界大埔寶鄉邨地下G07室
Go7, G/F, Po Heung Estate, Tai Po, New Territories Hong Kong",wycdc@poleungkuk.org.hk,"2769 0208
 (2769 3478)","梁健兒經理
Leung Kin Yi",kinyi.leung@poleungkuk.org.hk,"2018.3.1
(2019.1.18)",100,0-6歲,暫託服務 2018.3.1
C-MNSPCDC,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,倪文玲(深水埗)兒童發展中心,"倪文玲(深水埗)兒童發展中心
Malina Ngai (Sham Shui Po) Child Development Centre","九龍深水埗蘇屋邨社區綜合服務大樓二樓
2nd floor , Amenity and Community Building, So Uk Estate, Sham Shui Po, Kowloon",mnsspcdc@poleungkuk.org.hk,"2955 1622
(2955 1612)","羅小萍經理
Lo Siu Ping",phoebe.lo@poleungkuk.org.hk,"2019.12.19
(2022.9.8)","120
(早期訓練: 90)
(特殊幼兒: 30)",0-6歲,-
C-MNHTCDC,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,倪文玲(海達)兒童發展中心,"倪文玲(海達)兒童發展中心
Malina Ngai ( Hoi Tat) Child Development Centre","深水埗深旺道38號海達邨服務設施大樓地下
G/F, Hoi Tat Estate Ancillary Facilities Block, 38 Sham Mong Road, Sham Shui Po",mnhtcdc@poleungkuk.org.hk,"2590 0203
(2856 1368)","曾羡文經理
Tsang Sin Man",sinman.tsang@poleungkuk.org.hk,"2022.7.29
(2023.9.15)","120
(早期訓練: 60)
(特殊幼兒: 60)",0-6歲,"暫託服務2023.9.15
延展服務2023.9.15"
C-TSP-WRS,社署合約金,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,啟步計劃,"啟步計劃
Training Subsidy Programme for Children on the Waiting List for Subvented Pre-school Rehabilitation Services","新界元朗水邊圍邨盈水樓215-220室
Unit 215-220 Ying Shui House, Shui Pin Wai Estate, Yuen Long, New Territories",ylelc@poleungkuk.org.hk,"2479 1901
2479 1902
(2479 1905)","梁健兒經理
Leung Kin Yi",kinyi.leung@poleungkuk.org.hk,2014.10.1,253,0-6歲,-
C-FLY-HKCK,社署資助,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(港島及九龍),"傲翔計劃(港島及九龍)
I Can Fly (HK Island & Kowloon )","香港灣仔譚臣道23號壬子商業大廈2樓
2/F Yam Tze Commercial Building, 23 Thomson Road Wan Chai, Hong Kong",icanfly.hkk@poleungkuk.org.hk,"3166 1088
(3905 6037)","黃淑君隊長
Wong Shuk Kwan",shukkwan.wong@poleungkuk.org.hk,2015.12.1,179,2-6歲,-
C-FLY-KE,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(九龍東),"傲翔計劃(九龍東)
I Can Fly (Kowloon East)","九龍九龍灣宏遠街1號一號九龍806-807室
Units 806-807, 8/F., One Kowloon, 1 Wang Yuen Street, Kowloon Bay, Kowloon, HK.",icanfly.ke@poleungkuk.org.hk,"3709 8721
(3709 8720)","杜耀明隊長
Tho Yiu Ming",yiuming.tho@poleungkuk.org.hk,2015.12.1,164,2-6歲,-
C-FLY-NTE,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(新界東),"傲翔計劃(新界東)
I Can Fly (New Territories East)","新界沙田火炭山尾街18-24號沙田商業中心7樓11-12室
Unit 11-12, 7/F Shatin Galleria,  18-24 Shan Mei Street, Fo Tan, New Territories",icanfly.nte@poleungkuk.org.hk,3702 3309,"彭詠嫻隊長
Pang Wing Han","	ivy.wh.pang@poleungkuk.org.hk",2015.12.1,189,2-6歲,-
C-FLY-NTW,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(新界西),"傲翔計劃(新界西)
I Can Fly (New Territories West)","新界東涌逸東邨二號停車場三樓
Unit No. KG02, 3/F., Multi-storey Car Park 2, Yat Tung Estate, Tung Chung, New Territories",icanfly.ntw@poleungkuk.org.hk,"2813 2137
2813 2374
(2813 2529)","王偉杰隊長
Wong Wai Kit","	waikit.wong@poleungkuk.org.hk",2015.12.1,179,2-6歲,-
C-FLY-KS,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(九龍南),"傲翔計劃(九龍南)
I Can Fly (Kowloon South)","九龍長沙灣道833號長沙灣廣場二期5樓507A室，6樓604 - 605A室
Unit 604 and Unit 605A, 6/F, Tower II, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",icanfly.ks@poleungkuk.org.hk,"2127 4898
(3741 2021)","鄧綺玲隊長
Tang Yee Ling",elaine.yl.tang@poleungkuk.org.hk,2018.10.1,179,2-6歲,-
C-FLY-NTS,社署資助,九龍,幼兒服務,特殊幼兒服務,特殊幼兒服務,傲翔計劃(新界南),"傲翔計劃(新界南)
I Can Fly (New Territories South)","九龍長沙灣道833號長沙灣廣場二期6樓606室
Unit 606, 6/F, Tower II, Cheung Sha Wan Plaza, 833 Cheung Sha Wan Road, Cheung Sha Wan, Kowloon",icanfly.nts@poleungkuk.org.hk,"2127 4914
 (3741 2022)","鄧曉欣隊長
Tang Hiu Yan","	hiuyan.tang@poleungkuk.org.hk",2018.10.1,134,2-6歲,-
C-TC,自資,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,東涌兒童綜合服務中心,"東涌兒童綜合服務中心
Tung Chung Children Integrated Services Centre","新界東涌逸東邨二號停車場三樓
Unit No. KG02, 3/F., Multi-storey Car Park 2, Yat Tung Estate, Tung Chung, New Territories",tccisc@poleungkuk.org.hk,"2813 2387
2813 2374
(2813 2529)","王偉杰隊長
Wong Wai Kit","	waikit.wong@poleungkuk.org.hk",2015.12.1,不限,0-8歲,-
C-KSWS-EW,社署資助,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,幼稚園駐校社工服務(東區及灣仔),"幼稚園駐校社工服務(東區及灣仔)
Kindergarten Social Work Services (Eastern and Wan Chai)","香港銅鑼灣駱克道463-483號 銅鑼灣廣場2期1603室
Unit 1603, 16/F, Causeway Bay Plaza 2, 463-483 Lockhart Road, Causeway Bay, H.K.",ksws.ew@poleungkuk.org.hk,"2116 9158
(3523 0624)","夏嘉怡經理
Ha Ka Yi",kayi.ha@poleungkuk.org.hk,2023.8.1,16間學校,2-6歲,
C-SPEECHT1,社署資助,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,言語治療服務隊I,"言語治療服務隊I
Speech Therapy Service Team 1 ","香港銅鑼灣禮頓道66號郭羅桂珍兒童服務大樓203室
Rm 203, Kwok Law Kwai Chun Children Services Building, 66 Leightion Road, Causeway Bay, H.K.
",speech@poleungkuk.org.hk,"2277 8276
(2881 7447)","呂敏儀隊長
Lui Man Yi",manyi.lui@poleungkuk.org.hk,2002,258,2-6歲,-
C-SPEECHT2,社署資助,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,言語治療服務隊II,"言語治療服務隊II
Speech Therapy Service Team 2","香港銅鑼灣禮頓道66號郭羅桂珍兒童服務大樓203室
Rm 203, Kwok Law Kwai Chun Children Services Building, 66 Leightion Road, Causeway Bay, H.K.
",speech@poleungkuk.org.hk,"2277 8276
(2881 7447)","呂敏儀隊長
Lui Man Yi",manyi.lui@poleungkuk.org.hk,2002,210,2-6歲,-
C-CPES,自資,香港,幼兒服務,特殊幼兒服務,特殊幼兒服務,**兒童潛能發展服務,"**兒童潛能發展服務
Children Potential Enhancement Services
(**為言語治療服務隊)","香港銅鑼灣禮頓道66號郭羅桂珍兒童服務大樓203室
Rm 203, Kwok Law Kwai Chun Children Services Building, 66 Leightion Road, Causeway Bay, H.K.
",speech@poleungkuk.org.hk,"2277 8276
(2881 7447)","呂敏儀隊長
Lui Man Yi",manyi.lui@poleungkuk.org.hk,2004,不限,2-8歲,-
C-PCC-TC,社署資助,新界,幼兒服務,特殊幼兒服務,特殊幼兒服務,學前兒童課餘託管中心(東涌),"學前兒童課餘託管中心(東涌)
Po Leung Kuk After School Care Centre for Pre primary Children (Tung Chung)","新界東涌逸東邨二號停車場三樓
Unit No. KG02, 3/F., Multi-storey Car Park 2, Yat Tung Estate, Tung Chung, New Territories",tccisc@poleungkuk.org.hk,"2813 2387
2813 2374
(2813 2529)","王偉杰隊長
Wong Wai Kit","	waikit.wong@poleungkuk.org.hk",2015.8.1,18,3-6歲,
R-YFPT,社署資助,九龍,康復服務,康復-院舍,康復-院舍,原馮寶添紀念宿舍,"原馮寶添紀念宿舍
Yuen Fung Po Tim Memorial Hostel
(RE07)","九龍觀塘翠屏邨翠桐樓二樓
2/F, Tsui Tung House, Tsui Ping Estate, Kwun Tong, Kowloon",yfpthostel@poleungkuk.org.hk,"2772 3049
(2379 5021)","湛麗翔
Ven Cham","laicheung.cham@poleungkuk.org,hk","3.1976(開辦)
5.1991(遷址)","59 住宿 (女)
2 偶然暫宿",15歲或以上,-
R-88KT,社署資助,九龍,康復服務,職業健康服務,職業健康服務,八八觀塘工場,"八八觀塘工場
88 KwunTong Workshop 
(RE08)","九龍觀塘翠屏邨翠桐樓地下
G/F, Tsui Tung House, Tsui Ping Estate, Kwun Tong, Kowloon",88kt@poleungkuk.org.hk,"2772 3046-8
(2348 9651)","湛麗翔
Ven Cham","laicheung.cham@poleungkuk.org,hk","3.1976(開辦)
5.1991(遷址)",115 (男女),15歲或以上,-
R-88KT-WEP,社署資助,九龍,康復服務,職業康復延展計劃,職業健康服務,(八八觀塘工場) 職業康復延展計劃,"(八八觀塘工場) 職業康復延展計劃
Work Extension Programme 
(RE25)","九龍觀塘翠屏邨翠桐樓地下
G/F, Tsui Tung House, Tsui Ping Estate, Kwun Tong, Kowloon",88kt@poleungkuk.org.hk,"2772 3046-8
(2348 9651)","湛麗翔
Ven Cham","laicheung.cham@poleungkuk.org,hk","3.1976(開辦)
5.1991(遷址)",160 (男女),15歲或以上,-
R-KL,社署資助,新界,康復服務,康復-院舍,康復-院舍,景林宿舍,"景林宿舍
King Lam Hostel
(RE11)","新界將軍澳景林邨景榕樓地下及一樓
G/F & 1/F, King Yung House, King Lam Estate, Tseung Kwan O, N.T.",kinglam@poleungkuk.org.hk,"2701 5333
(2623 2105)","黃劍影
Regina Wong ",regina.wong@poleungkuk.org.hk,2.1994,"18 住宿 (男)
38 住宿 (女)
2 偶然暫宿",15歲或以上,-
R-YYS,社署資助,新界,康復服務,職業健康服務,職業健康服務,余堯燊紀念工場,"余堯燊紀念工場
Yue Yiu Sun Memorial Workshop
(RE12)","新界將軍澳景林邨景榆樓地下
G/F, King Yu House, King Lam Estate, Tseung Kwan O, N.T.",yueyiusun@poleungkuk.org.hk,"2706 2998
(2706 7070)","黃劍影
Regina Wong",regina.wong@poleungkuk.org.hk,2.1994,155 (男女),15歲或以上,-
R-YYS-WEP,社署資助,新界,康復服務,職業康復延展計劃,職業健康服務,(余堯燊紀念工場) 職業康復延展計劃,"(余堯燊紀念工場) 職業康復延展計劃
Work Extension Programme
(RE41)","新界將軍澳景林邨景榆樓地下
G/F, King Yu House, King Lam Estate, Tseung Kwan O, N.T.",yueyiusun@poleungkuk.org.hk,"2706 2998
(2706 7070)","黃劍影
Regina Wong",regina.wong@poleungkuk.org.hk,2.1994,155 (男女),15歲或以上,-
R-YLS,社署資助,新界,康復服務,康復-院舍,康復-院舍,姚連生宿舍,"姚連生宿舍
Yao Ling Sun Hostel
(RE17)","新界天水圍天澤邨服務設施大樓四樓
4/F, Ancillary Facilities Block, Tin Chak Estate, Tin Shui Wai, N.T.",ylshostel@poleungkuk.org.hk,"2486 3366
(2486 3006)","陳志揚
Danny Chan ",chiyeung.chan@poleungkuk.org.hk,"3.2002(開辦)
11.2011(遷址)","37 住宿 (男)
37 住宿 (女)
3 指定暫宿
4 偶然暫宿","15歲或以上
15歲或以上
6歲或以上
6歲或以上",-
R-TCVS,社署資助,新界,康復服務,職業健康服務,職業健康服務,天澤職業服務中心,"天澤職業服務中心
Tin Chak Vocational Services Centre
(RE33)","新界天水圍天澤邨澤宇樓、澤潤樓及澤輝樓地下
G/F, Chak Yu House, Chak Yun House, Chak Fai House, Tin Chak Estate, Tin Shui Wai, N.T.
",tcvsc@poleungkuk.org.hk,"2486 3888
(2486 3579)","陳志揚
Danny Chan ",chiyeung.chan@poleungkuk.org.hk,"3.2002(開辦)
3.2012(轉型)",234 (男女),15歲或以上,-
R-WLGJ,社署資助,新界,康復服務,康復-院舍及職業健康服務,康復-院舍,永隆銀行金禧工場及宿舍,"永隆銀行金禧工場及宿舍
Wing Lung Bank Golden JubileeWorkshop and Hostel
(RE32)","新界西貢碧翠路33號
33 Razor Hill Road, Sai Kung, N.T.",wlgj@poleungkuk.org.hk,"2358 3301
(2358 3957)","李潤梅
Yuki Li",yuki.li@poleungkuk.org.hk,4.2012(開辦),"170 (工場) (男女)
104 (宿舍) (男女)
4 偶然暫宿","15歲或以上
15歲或以上
6歲或以上",-
R-LSC,社署資助,新界,康復服務,康復-院舍,康復-院舍,李兆忠紀念復康中心,"李兆忠紀念復康中心
Li Shiu Chung Memorial Rehabilitation Centre
(RE23)","新界沙田大圍悠定街七號
7 Yau Ting Street, Tai Wai, Shatin, N.T.",lscmrc@poleungkuk.org.hk,"2699 3355
(2699 3312)","李嘉妍
Fanny Li",fanny.li@poleungkuk.org.hk,3.2007,60 (男女),15歲或以上,-
R-OT,社署資助,九龍,康復服務,康復-院舍,康復-院舍,安泰復康中心,"安泰復康中心
On Tai Rehabilitation Centre
(RE47)","九龍觀塘安秀道23號安泰邨服務設施大樓四樓
4/F, On Tai Estate Ancillary Facilities Block, 23 On Sau Road, Kwun Tong , Kowloon",otrc@poleungkuk.org.hk,"2711 9299
(2711 9290)","鄧頴欣
Tang Wing Yan",wy.tang@poleungkuk.org.hk,8.2019,"51 住宿 (男女)
5 日間 (男女)
3 偶然暫宿","15歲或以上
15歲或以上
6歲或以上",-
R-TSW,社署資助,新界,康復服務,康復-院舍,康復-院舍,天水圍復康中心,"天水圍復康中心
Tin Shui Wai Rehabilitation Centre
(RE36)","新界天水圍天業路三號天水圍(天業路)家庭醫學綜合中心三樓及四樓
3/F & 4/F, Tin Shui Wai (Tin Yip Road) Family Medicine Integrated Centre, 3 Tin Yip Road, Tin Shui Wai, N.T.",tswrc@poleungkuk.org.hk,"2602 0600
(2602 0922)","翁美思
Helen Yung",meisze.yung@poleungkuk.org.hk,3.2014,"35 (女)
45 (男)",15歲或以上,-
R-SKM-VS,社署資助,九龍,康復服務,康復延展照顧服務/職業康復延展計劃,職業健康服務,石硤尾職業服務中心,"石硤尾職業服務中心
Shek Kip Mei Vocational Services Centre 
(RE22)","九龍深水埗石硤尾邨42及43座平台
Podium Floor, Blocks 42 & 43, Shek Kip Mei Estate, Shamshuipo, Kowloon",skmvsc@poleungkuk.org.hk,"2778 1237
(2777 3861)","何蔚諾
Wallace Ho",wallace.wl.ho@poleungkuk.org.hk,"1.4.2004
[由石硤尾工場(2.1985開辦)及輔助就業(2002開辦) 合併轉型]",210 (男女),15歲或以上,-
R-LCK,社署資助,新界,康復服務,康復-院舍及日間照顧服務,康復-院舍,李朝江伉儷紀念中心,"李朝江伉儷紀念中心
Mr. and Mrs. Lee Chiu Kong Memorial Centre(RE06)","新界沙田顯徑邨顯沛樓地下
G/F, Hin Pui House, Hin Keng Estate, Shatin, N.T.",lck@poleungkuk.org.hk,"2605 6801
(2697 8929)","陳樂婷
Chan Lok Ting",lt.chan@poleungkuk.org.hk,1.1987,"56 住宿 (女)
16 日間服務 (女)
1 指定暫宿
1 偶然暫宿","15歲或以上
15歲或以上
6歲或以上
6歲或以上",-
R-LCK-EP,社署資助,新界,康復服務,康復延展照顧服務,康復-院舍,(李朝江伉儷紀念中心) 延展照顧計劃  ,"(李朝江伉儷紀念中心) 延展照顧計劃  
Extended Care Programme","新界沙田顯徑邨顯沛樓地下
G/F, Hin Pui House, Hin Keng Estate, Shatin, N.T.",lck@poleungkuk.org.hk,"2605 6801
(2697 8929)","陳樂婷
Chan Lok Ting",lt.chan@poleungkuk.org.hk,"2.2015 (原轉名額15)
11.2018 (再轉名額25)",40 (女),50歲或以上,-
R-CYC,社署資助,新界,康復服務,康復-院舍及日間照顧服務,康復-院舍,鄭翼之中心,"鄭翼之中心
Y.C. Cheng Centre
(RE09)","新界沙田大圍悠定街九號
9 Yau Ting Street, Tai Wai, Shatin, N.T.",yccheng@poleungkuk.org.hk,"2699 3355
(2697 1773)","李嘉妍
Fanny Li",fanny.li@poleungkuk.org.hk,10.1991,"212 住宿 (男女)
87 日間服務 (男女)
4 偶然暫宿","15歲或以上
15歲或以上
6歲或以上",-
